2026-07-26 21:19:15 | stm32u3c5ci | table_83 | page=155 | Y=5.3.12 Electrical sensitivity characteristics | outline/toc=5.3.13 I/O current injection characteristics
2026-07-26 21:19:15 | stm32u3c5ci | table_84 | page=155 | Y=5.3.12 Electrical sensitivity characteristics | outline/toc=5.3.13 I/O current injection characteristics
2026-07-26 21:19:15 | stm32u3c5ci | table_85 | page=156 | Y=5.3.13 I/O current injection characteristics | outline/toc=5.3.14 I/O port characteristics
2026-07-26 21:19:15 | stm32u3c5ci | table_93 | page=164 | Y=5.3.16 Extended interrupt and event controller input (EXTI) characteristics | outline/toc=5.3.17 Analog switches booster
2026-07-26 21:19:15 | stm32u3c5ci | table_98 | page=169 | Y=5.3.19 Temperature sensor characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:19:15 | stm32u3c5ci | table_99 | page=169 | Y=5.3.20 V monitoring characteristics | outline/toc=5.3.21 V monitoring characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_5 | page=14 | A=3.7 Global TrustZone® controller (GTZC) | B=3.6 Boot modes
2026-07-26 21:35:04 | stm32u3b5cg | table_6 | page=14 | A=3.7 Global TrustZone® controller (GTZC) | B=3.6 Boot modes
2026-07-26 21:35:04 | stm32u3b5cg | table_7 | page=15 | A=3.7.1 TrustZone® security architecture | B=3.6 Boot modes
2026-07-26 21:35:04 | stm32u3b5cg | table_10 | page=36 | Y=3.21.1 Temperature sensor | outline/toc=3.22 Digital-to-analog converter (DAC)
2026-07-26 21:35:04 | stm32u3b5cg | table_11 | page=36 | Y=3.21.2 Internal voltage reference (VREFINT) | outline/toc=3.22 Digital-to-analog converter (DAC)
2026-07-26 21:35:04 | stm32u3b5cg | table_12 | page=41 | Y=3.31 Timers and watchdogs | outline/toc=3.31.2 General-purpose timers (TIM2, TIM3, TIM4, TIM12, TIM15, TIM16, TIM17)
2026-07-26 21:35:04 | stm32u3b5cg | table_13 | page=46 | Y=3.33 Tamper and backup registers (TAMP) | outline/toc=3.35 Improved inter-integrated circuit interface (I3C)
2026-07-26 21:35:04 | stm32u3b5cg | table_14 | page=48 | Y=3.33 Tamper and backup registers (TAMP) | outline/toc=3.36 Universal synchronous/asynchronous receiver transmitter (USART)
2026-07-26 21:35:04 | stm32u3b5cg | table_16 | page=52 | Y=3.38 Serial peripheral interface (SPI) | outline/toc=3.39 Serial audio interfaces (SAI)
2026-07-26 21:35:04 | stm32u3b5cg | table_17 | page=53 | Y=3.39 Serial audio interfaces (SAI) | outline/toc=3.40 Secure digital input/output and MultiMediaCards interface (SDMMC)
2026-07-26 21:35:04 | stm32u3b5cg | table_18 | page=54 | Y=3.40 Secure digital input/output and MultiMediaCards interface (SDMMC) | outline/toc=3.41 Controller area network (FDCAN)
2026-07-26 21:35:04 | stm32u3b5cg | table_19 | page=55 | Y=3.42 USB full-speed (USB) | outline/toc=3.43.2 Embedded Trace Macrocell
2026-07-26 21:35:04 | stm32u3b5cg | table_69 | page=140 | Y=5.3.7 Wake-up time from low-power modes and voltage scaling transition times | outline/toc=5.3.8 External clock timing characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_70 | page=140 | Y=5.3.7 Wake-up time from low-power modes and voltage scaling transition times | outline/toc=5.3.8 External clock timing characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_74 | page=144 | Y=5.3.8 External clock timing characteristics | outline/toc=5.3.9 Internal clock timing characteristics
2026-07-26 21:35:04 | stm32u3b5cg | table_79 | page=151 | Y=5.3.10 Flash memory characteristics | outline/toc=5.3.11 EMC characteristics
